"","name","lat","lon","time","Rab.Obv","geometry","RabID","MST.time","Hour","DayOfYr","Date"
"54","Jai210",43.179571,-116.169184,"2022-08-11T08:49:46Z","Jackrab",c(-116.169184, 43.179571),54,2022-08-11 02:49:46,2,223,2022-08-11
"55","Jai22",43.30997497,-116.145215,"2022-08-03T09:01:52Z","Jackrab",c(-116.145215, 43.30997497),55,2022-08-03 03:01:52,3,215,2022-08-03
"56","Jai23",43.30479101,-116.137931,"2022-08-03T09:03:11Z","Jackrab",c(-116.137931, 43.30479101),56,2022-08-03 03:03:11,3,215,2022-08-03
"57","Jai24",43.16518396,-116.200206,"2022-08-04T09:00:07Z","Jackrab",c(-116.200206, 43.16518396),57,2022-08-04 03:00:07,3,216,2022-08-04
"58","Jai25",43.16907199,-116.195984,"2022-08-04T09:01:07Z","Jackrab",c(-116.195984, 43.16907199),58,2022-08-04 03:01:07,3,216,2022-08-04
"59","Jai26",43.28325002,-116.090099,"2022-08-05T08:35:18Z","Jackrab",c(-116.090099, 43.28325002),59,2022-08-05 02:35:18,2,217,2022-08-05
"60","Jai27",43.35447298,-116.23443,"2022-08-08T08:24:50Z","Jackrab",c(-116.23443, 43.35447298),60,2022-08-08 02:24:50,2,220,2022-08-08
"61","Jai28",43.370611,-116.234432,"2022-08-09T08:20:41Z","Jackrab",c(-116.234432, 43.370611),61,2022-08-09 02:20:41,2,221,2022-08-09
"62","Jai29",43.18611299,-116.011631,"2022-08-11T08:24:06Z","Jackrab",c(-116.011631, 43.18611299),62,2022-08-11 02:24:06,2,223,2022-08-11
"63","Jai3",43.17836098,-116.183585,"2022-08-03T06:27:40Z","Jackrab",c(-116.183585, 43.17836098),63,2022-08-03 00:27:40,0,215,2022-08-03
"64","Jai30",43.30644401,-116.141506,"2022-08-12T09:05:20Z","Jackrab",c(-116.141506, 43.30644401),64,2022-08-12 03:05:20,3,224,2022-08-12
"65","Jai31",43.17009601,-116.195052,"2022-08-04T09:01:22Z","Jackrab",c(-116.195052, 43.17009601),65,2022-08-04 03:01:22,3,216,2022-08-04
"66","Jai32",43.166485,-116.19872,"2022-08-11T08:56:30Z","Jackrab",c(-116.19872, 43.166485),66,2022-08-11 02:56:30,2,223,2022-08-11
"67","Jai4",43.17559596,-116.187478,"2022-08-03T06:28:47Z","Jackrab",c(-116.187478, 43.17559596),67,2022-08-03 00:28:47,0,215,2022-08-03
"68","Jai41",43.171158,-116.194526,"2022-08-04T09:01:37Z","Jackrab",c(-116.194526, 43.171158),68,2022-08-04 03:01:37,3,216,2022-08-04
"69","Jai42",43.16596499,-116.199306,"2022-08-11T08:56:40Z","Jackrab",c(-116.199306, 43.16596499),69,2022-08-11 02:56:40,2,223,2022-08-11
"70","Jai5",43.17126503,-116.194457,"2022-08-03T06:31:03Z","Jackrab",c(-116.194457, 43.17126503),70,2022-08-03 00:31:03,0,215,2022-08-03
"71","Jai51",43.17132999,-116.194425,"2022-08-04T09:01:48Z","Jackrab",c(-116.194425, 43.17132999),71,2022-08-04 03:01:48,3,216,2022-08-04
"72","Jai52",43.15851901,-116.20632,"2022-08-11T08:58:20Z","Jackrab",c(-116.20632, 43.15851901),72,2022-08-11 02:58:20,2,223,2022-08-11
"73","Jai6",43.16935999,-116.195751,"2022-08-03T06:31:39Z","Jackrab",c(-116.195751, 43.16935999),73,2022-08-03 00:31:39,0,215,2022-08-03
