"","RabID","Rab.Obv","name","Date","Hour","DayOfYr","MST.time","lat","lon","geometry","SurveyNight"
"67",67,"Jackrab","Jai4",2022-08-03,0,215,2022-08-03 00:28:47,43.17559596,-116.187478,c(-116.187478, 43.17559596),"2"
"68",68,"Jackrab","Jai41",2022-08-04,3,216,2022-08-04 03:01:37,43.171158,-116.194526,c(-116.194526, 43.171158),"3"
"69",69,"Jackrab","Jai42",2022-08-11,2,223,2022-08-11 02:56:40,43.16596499,-116.199306,c(-116.199306, 43.16596499),"7"
"70",70,"Jackrab","Jai5",2022-08-03,0,215,2022-08-03 00:31:03,43.17126503,-116.194457,c(-116.194457, 43.17126503),"2"
"71",71,"Jackrab","Jai51",2022-08-04,3,216,2022-08-04 03:01:48,43.17132999,-116.194425,c(-116.194425, 43.17132999),"3"
"72",72,"Jackrab","Jai52",2022-08-11,2,223,2022-08-11 02:58:20,43.15851901,-116.20632,c(-116.20632, 43.15851901),"7"
"73",73,"Jackrab","Jai6",2022-08-03,0,215,2022-08-03 00:31:39,43.16935999,-116.195751,c(-116.195751, 43.16935999),"2"
"74",74,"Jackrab","Jai61",2022-08-04,3,216,2022-08-04 03:01:59,43.17144399,-116.194357,c(-116.194357, 43.17144399),"3"
"75",75,"Jackrab","Jai7",2022-08-03,0,215,2022-08-03 00:32:24,43.16729302,-116.197653,c(-116.197653, 43.16729302),"2"
"76",76,"Jackrab","Jai71",2022-08-04,3,216,2022-08-04 03:04:07,43.17537401,-116.187868,c(-116.187868, 43.17537401),"3"
"77",77,"Jackrab","Jai8",2022-08-03,0,215,2022-08-03 00:34:48,43.15877197,-116.206062,c(-116.206062, 43.15877197),"2"
"78",78,"Jackrab","Jai81",2022-08-04,3,216,2022-08-04 03:07:48,43.17998196,-116.171056,c(-116.171056, 43.17998196),"3"
"79",79,"Jackrab","Jai9",2022-08-03,1,215,2022-08-03 01:37:19,43.227994,-116.220198,c(-116.220198, 43.227994),"2"
"80",80,"Jackrab","Jai91",2022-08-04,3,216,2022-08-04 03:08:30,43.17773703,-116.164585,c(-116.164585, 43.17773703),"3"
"81",81,"Jackrab","Jaib",2022-08-01,21,213,2022-08-01 21:45:21,43.39986702,-116.234359,c(-116.234359, 43.39986702),"1"
"82",82,"Jackrab","Jaib1",2022-08-01,21,213,2022-08-01 21:51:34,43.392601,-116.234421,c(-116.234421, 43.392601),"1"
"83",83,"Jackrab","Jaib10",2022-08-04,1,216,2022-08-04 01:38:35,43.31951701,-116.215631,c(-116.215631, 43.31951701),"3"
"84",84,"Jackrab","Jaib101",2022-08-05,1,217,2022-08-05 01:18:39,43.26762096,-116.048434,c(-116.048434, 43.26762096),"4"
"85",85,"Jackrab","Jaib102",2022-08-08,1,220,2022-08-08 01:11:50,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"86",86,"Jackrab","Jaib11",2022-08-02,22,214,2022-08-02 22:50:17,43.214633,-115.984915,c(-115.984915, 43.214633),"2"
"87",87,"Jackrab","Jaib110",2022-08-04,1,216,2022-08-04 01:29:13,43.37579504,-116.234464,c(-116.234464, 43.37579504),"3"
"88",88,"Jackrab","Jaib111",2022-08-04,1,216,2022-08-04 01:39:06,43.31691602,-116.215289,c(-116.215289, 43.31691602),"3"
"89",89,"Jackrab","Jaib112",2022-08-05,1,217,2022-08-05 01:01:23,43.214705,-115.983661,c(-115.983661, 43.214705),"4"
"90",90,"Jackrab","Jaib113",2022-08-05,1,217,2022-08-05 01:20:36,43.272748,-116.058114,c(-116.058114, 43.272748),"4"
"91",91,"Jackrab","Jaib114",2022-08-08,0,220,2022-08-08 00:54:36,43.39856599,-116.234389,c(-116.234389, 43.39856599),"5"
"92",92,"Jackrab","Jaib115",2022-08-08,1,220,2022-08-08 01:12:30,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"93",93,"Jackrab","Jaib116",2022-08-09,1,221,2022-08-09 01:28:10,43.370611,-116.234432,c(-116.234432, 43.370611),"6"
"94",94,"Jackrab","Jaib117",2022-08-11,1,223,2022-08-11 01:20:32,43.21466301,-115.98465,c(-115.98465, 43.21466301),"7"
"95",95,"Jackrab","Jaib118",2022-08-12,1,224,2022-08-12 01:47:21,43.25755103,-116.041418,c(-116.041418, 43.25755103),"8"
"96",96,"Jackrab","Jaib12",2022-08-04,1,216,2022-08-04 01:39:24,43.31601698,-116.215095,c(-116.215095, 43.31601698),"3"
"97",97,"Jackrab","Jaib121",2022-08-05,1,217,2022-08-05 01:25:12,43.28325002,-116.09164,c(-116.09164, 43.28325002),"4"
"98",98,"Jackrab","Jaib122",2022-08-08,1,220,2022-08-08 01:20:10,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"99",99,"Jackrab","Jaib13",2022-08-04,1,216,2022-08-04 01:39:34,43.31554198,-116.214969,c(-116.214969, 43.31554198),"3"
"100",100,"Jackrab","Jaib131",2022-08-05,1,217,2022-08-05 01:28:28,43.28325002,-116.09164,c(-116.09164, 43.28325002),"4"
"101",101,"Jackrab","Jaib132",2022-08-08,1,220,2022-08-08 01:21:28,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"102",102,"Jackrab","Jaib14",2022-08-04,1,216,2022-08-04 01:42:37,43.29491897,-116.206988,c(-116.206988, 43.29491897),"3"
