ID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Proximity	Temperature	Depth	DisplayMode	Samples	Expiration	CreationTime
476	43.35276903	-116.234434	913.670654	2022-08-08T07:29:46Z			Junkie23				"Flag, Blue"	user											SymbolAndName			2022-08-08T07:29:46Z
477	43.35654197	-116.234391	912.830933	2022-08-08T07:30:38Z			Junkie24				"Flag, Blue"	user											SymbolAndName			2022-08-08T07:30:38Z
478	43.35865798	-116.23437	919.632996	2022-08-12T07:32:34Z			Junkie25				"Flag, Blue"	user											SymbolAndName			2022-08-12T07:32:34Z
479	43.27860201	-116.158162	994.13855	2022-08-04T07:04:47Z			Junkie3				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:04:47Z
480	43.32353496	-116.217094	940.253784	2022-08-05T07:52:06Z			Junkie31				"Flag, Blue"	user											SymbolAndName			2022-08-05T07:52:06Z
481	43.36880503	-116.234441	901.662048	2022-08-08T07:33:01Z			Junkie32				"Flag, Blue"	user											SymbolAndName			2022-08-08T07:33:01Z
482	43.27839003	-116.144576	996.070007	2022-08-04T07:06:20Z			Junkie4				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:06:20Z
483	43.33067701	-116.223835	943.958069	2022-08-05T07:53:31Z			Junkie41				"Flag, Blue"	user											SymbolAndName			2022-08-05T07:53:31Z
484	43.37057898	-116.234436	896.716797	2022-08-08T07:33:28Z			Junkie42				"Flag, Blue"	user											SymbolAndName			2022-08-08T07:33:28Z
485	43.27927499	-116.134394	996.611206	2022-08-04T07:07:51Z			Junkie5				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:07:51Z
486	43.33188904	-116.22488	940.515076	2022-08-05T07:53:42Z			Junkie51				"Flag, Blue"	user											SymbolAndName			2022-08-05T07:53:42Z
487	43.37156201	-116.234435	895.233215	2022-08-08T07:33:42Z			Junkie52				"Flag, Blue"	user											SymbolAndName			2022-08-08T07:33:42Z
488	43.28139503	-116.115974	990.984802	2022-08-04T07:09:48Z			Junkie6				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:09:48Z
489	43.33247401	-116.225348	936.092346	2022-08-05T07:53:54Z			Junkie61				"Flag, Blue"	user											SymbolAndName			2022-08-05T07:53:54Z
490	43.381815	-116.234493	895.335876	2022-08-08T07:35:12Z			Junkie62				"Flag, Blue"	user											SymbolAndName			2022-08-08T07:35:12Z
491	43.28188696	-116.111178	986.104858	2022-08-04T07:10:13Z			Junkie7				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:10:13Z
492	43.35187099	-116.234427	906.280762	2022-08-05T07:57:32Z			Junkie71				"Flag, Blue"	user											SymbolAndName			2022-08-05T07:57:32Z
493	43.38291203	-116.234488	892.825928	2022-08-08T07:35:24Z			Junkie72				"Flag, Blue"	user											SymbolAndName			2022-08-08T07:35:24Z
494	43.27625399	-116.080205	973.396423	2022-08-04T07:14:13Z			Junkie8				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:14:13Z
495	43.35238497	-116.234419	905.263733	2022-08-05T07:57:43Z			Junkie81				"Flag, Blue"	user											SymbolAndName			2022-08-05T07:57:43Z
496	43.38482302	-116.234474	890.213318	2022-08-08T07:36:00Z			Junkie82				"Flag, Blue"	user											SymbolAndName			2022-08-08T07:36:00Z
497	43.27506702	-116.078521	974.096252	2022-08-04T07:14:29Z			Junkie9				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:14:29Z
498	43.35925	-116.234395	899.245422	2022-08-05T07:59:38Z			Junkie91				"Flag, Blue"	user											SymbolAndName			2022-08-05T07:59:38Z
499	43.40307302	-116.23439	892.434021	2022-08-08T07:39:01Z			Junkie92				"Flag, Blue"	user											SymbolAndName			2022-08-08T07:39:01Z
