ID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Proximity	Temperature	Depth	DisplayMode	Samples	Expiration	CreationTime
179	43.21489401	-115.972232	934.888672	2022-08-03T04:48:41Z			Jaib4				"Flag, Blue"	user											SymbolAndName			2022-08-03T04:48:41Z
180	43.22013798	-116.019231	949.052673	2022-08-12T07:41:06Z			Jaib40				"Flag, Blue"	user											SymbolAndName			2022-08-12T07:41:06Z
181	43.36102	-116.234431	903.78949	2022-08-04T07:32:02Z			Jaib41				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:32:02Z
182	43.21455698	-115.991739	934.907349	2022-08-05T07:02:35Z			Jaib42				"Flag, Blue"	user											SymbolAndName			2022-08-05T07:02:35Z
183	43.36008601	-116.23443	903.742188	2022-08-08T07:00:11Z			Jaib43				"Flag, Blue"	user											SymbolAndName			2022-08-08T07:00:11Z
184	43.21455999	-115.989855	940.944275	2022-08-11T07:21:19Z			Jaib44				"Flag, Blue"	user											SymbolAndName			2022-08-11T07:21:19Z
185	43.33056402	-116.223725	943.883423	2022-08-04T07:36:25Z			Jaib5				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:36:25Z
186	43.21451498	-115.992873	936.092346	2022-08-05T07:02:47Z			Jaib51				"Flag, Blue"	user											SymbolAndName			2022-08-05T07:02:47Z
187	43.36008601	-116.23443	903.742188	2022-08-08T07:00:22Z			Jaib52				"Flag, Blue"	user											SymbolAndName			2022-08-08T07:00:22Z
188	43.21345299	-115.995017	944.452637	2022-08-11T07:22:03Z			Jaib53				"Flag, Blue"	user											SymbolAndName			2022-08-11T07:22:03Z
189	43.32967001	-116.222742	939.899231	2022-08-04T07:36:36Z			Jaib6				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:36:36Z
190	43.214144	-115.993934	934.422119	2022-08-05T07:03:00Z			Jaib61				"Flag, Blue"	user											SymbolAndName			2022-08-05T07:03:00Z
191	43.36008601	-116.23443	903.742188	2022-08-08T07:01:08Z			Jaib62				"Flag, Blue"	user											SymbolAndName			2022-08-08T07:01:08Z
192	43.21038798	-115.999782	939.544678	2022-08-11T07:22:49Z			Jaib63				"Flag, Blue"	user											SymbolAndName			2022-08-11T07:22:49Z
193	43.32885403	-116.221708	941.233521	2022-08-04T07:36:46Z			Jaib7				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:36:46Z
194	43.213827	-115.994411	933.740967	2022-08-05T07:03:08Z			Jaib71				"Flag, Blue"	user											SymbolAndName			2022-08-05T07:03:08Z
